"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"20137","30/06/2020",0,0,0,"vulnerabilidad media"
"20138","30/06/2020",0,0,0,"vulnerabilidad media"
"20139","30/06/2020",0,0,0,"vulnerabilidad media"
"20140","30/06/2020",0,0,0,"No Disponible"
"20141","30/06/2020",0,0,1,"vulnerabilidad alta"
"20142","30/06/2020",0,0,0,"vulnerabilidad media"
"20143","30/06/2020",3,1,3,"vulnerabilidad baja"
"20144","30/06/2020",0,0,0,"vulnerabilidad media"
"20145","30/06/2020",7,1,9,"vulnerabilidad muy alta"
"20146","30/06/2020",0,0,0,"vulnerabilidad media"
"20147","30/06/2020",0,0,0,"vulnerabilidad alta"
"20148","30/06/2020",0,0,0,"vulnerabilidad media"
"20149","30/06/2020",2,0,3,"vulnerabilidad baja"
"20150","30/06/2020",13,3,23,"vulnerabilidad media"
"20151","30/06/2020",0,0,0,"vulnerabilidad media"
"20152","30/06/2020",0,0,0,"vulnerabilidad media"
"20153","30/06/2020",1,1,1,"vulnerabilidad baja"
"20154","30/06/2020",0,0,0,"vulnerabilidad media"
"20155","30/06/2020",0,0,0,"vulnerabilidad media"
"20156","30/06/2020",0,0,1,"vulnerabilidad media"
"20157","30/06/2020",87,8,132,"vulnerabilidad alta"
"20158","30/06/2020",1,0,21,"vulnerabilidad media"
"20159","30/06/2020",0,0,0,"vulnerabilidad media"
"20160","30/06/2020",0,0,2,"vulnerabilidad alta"
"20161","30/06/2020",2,0,3,"vulnerabilidad media"
"20162","30/06/2020",0,0,0,"vulnerabilidad media"
"20163","30/06/2020",1,0,2,"vulnerabilidad media"
"20164","30/06/2020",4,1,6,"vulnerabilidad media"
"20165","30/06/2020",0,0,0,"vulnerabilidad media"
"20166","30/06/2020",19,2,41,"vulnerabilidad baja"
"20167","30/06/2020",0,0,1,"vulnerabilidad media"
"20168","30/06/2020",0,0,0,"vulnerabilidad media"
"20169","30/06/2020",0,0,0,"vulnerabilidad media"
"20170","30/06/2020",0,0,0,"vulnerabilidad media"
